taskName,conditionSnrDb,windowLength,aucLzmsaPaper,aucLzmsaMeanCompressedByteValue,aucLzmsaCompressedByteVariance,aucLzmsaCompressedByteBucket0To63Proportion,aucLzmsaCompressedByteBucket64To127Proportion,aucLzmsaCompressedByteBucket128To191Proportion,aucLzmsaCompressedByteBucket192To255Proportion,aucLzmsaPrefixThirdMeanCompressedByteValue,aucLzmsaSuffixThirdMeanCompressedByteValue,deltaPaperMinusMeanCompressedByteValue,deltaPaperMinusCompressedByteVariance,deltaPaperMinusCompressedByteBucket0To63Proportion,deltaPaperMinusCompressedByteBucket64To127Proportion,deltaPaperMinusCompressedByteBucket128To191Proportion,deltaPaperMinusCompressedByteBucket192To255Proportion,deltaPaperMinusPrefixThirdMeanCompressedByteValue,deltaPaperMinusSuffixThirdMeanCompressedByteValue
gaussian-emitter-vs-noise-only,-9.000000,64,0.506197,0.500675,0.507861,0.480421,0.539931,0.456115,0.494960,0.483049,0.567805,0.005522,-0.001664,0.025776,-0.033734,0.050082,0.011237,0.023148,-0.061608
gaussian-emitter-vs-noise-only,-9.000000,128,0.509983,0.494623,0.517409,0.530985,0.470414,0.490861,0.502990,0.472222,0.531684,0.015360,-0.007426,-0.021002,0.039569,0.019122,0.006993,0.037761,-0.021701
gaussian-emitter-vs-noise-only,-3.000000,64,0.522352,0.436728,0.497396,0.553916,0.513648,0.506149,0.418885,0.444517,0.524113,0.085624,0.024956,-0.031564,0.008704,0.016203,0.103467,0.077835,-0.001761
gaussian-emitter-vs-noise-only,-3.000000,128,0.560595,0.486497,0.457803,0.513527,0.489415,0.517650,0.463445,0.504171,0.445698,0.074098,0.102792,0.047068,0.071180,0.042945,0.097150,0.056424,0.114897
gaussian-emitter-vs-noise-only,0.000000,64,0.644218,0.529900,0.438850,0.450569,0.571181,0.498963,0.462842,0.533275,0.498650,0.114318,0.205368,0.193649,0.073037,0.145255,0.181376,0.110943,0.145568
gaussian-emitter-vs-noise-only,0.000000,128,0.719305,0.583623,0.413387,0.435692,0.510802,0.522835,0.543210,0.513985,0.576726,0.135682,0.305918,0.283613,0.208503,0.196470,0.176095,0.205320,0.142579
ofdm-signal-present-vs-noise-only,-9.000000,64,0.457779,0.427324,0.512539,0.575448,0.539207,0.461637,0.439646,0.450328,0.429905,0.030455,-0.054760,-0.117669,-0.081428,-0.003858,0.018133,0.007451,0.027874
ofdm-signal-present-vs-noise-only,-9.000000,128,0.517409,0.490500,0.532022,0.523968,0.499132,0.455681,0.535494,0.508922,0.470824,0.026909,-0.014613,-0.006559,0.018277,0.061728,-0.018085,0.008487,0.046585
ofdm-signal-present-vs-noise-only,-3.000000,64,0.569493,0.537953,0.466387,0.450593,0.522786,0.488691,0.537254,0.536217,0.472126,0.031540,0.103106,0.118900,0.046707,0.080802,0.032239,0.033276,0.097367
ofdm-signal-present-vs-noise-only,-3.000000,128,0.635441,0.566840,0.431424,0.423442,0.520761,0.537471,0.511791,0.514709,0.527705,0.068601,0.204017,0.211999,0.114680,0.097970,0.123650,0.120732,0.107736
ofdm-signal-present-vs-noise-only,0.000000,64,0.613137,0.530213,0.386333,0.416305,0.545693,0.542824,0.500482,0.526910,0.535229,0.082924,0.226804,0.196832,0.067444,0.070313,0.112655,0.086227,0.077908
ofdm-signal-present-vs-noise-only,0.000000,128,0.706404,0.595486,0.509066,0.421923,0.534216,0.472512,0.587432,0.513214,0.572868,0.110918,0.197338,0.284481,0.172188,0.233892,0.118972,0.193190,0.133536
