representationFamilyId,scaleValue,alternativeDetectorName,featureFamily,closestNeighborCount,combinationCount,winRate,medianAbsoluteAucDeltaFromPaper,maxAbsoluteAucDeltaFromPaper,medianClosenessRank,scaleMedianLeader,scaleClosestLeader,trendLabel
normalized-rms,0.5,lzmsa-mean-compressed-byte-value,whole-stream-mean,33,36,0.916667,0.008343,0.027199,1.000000,lzmsa-mean-compressed-byte-value,lzmsa-mean-compressed-byte-value,median+closest leader
normalized-rms,0.5,lzmsa-suffix-third-mean-compressed-byte-value,coarse-positional,3,36,0.083333,0.034047,0.110725,2.000000,lzmsa-mean-compressed-byte-value,lzmsa-mean-compressed-byte-value,non-leader
normalized-rms,0.5,lzmsa-compressed-byte-bucket-64-127-proportion,coarse-histogram,0,36,0.000000,0.070843,0.233989,3.000000,lzmsa-mean-compressed-byte-value,lzmsa-mean-compressed-byte-value,non-leader
normalized-rms,1,lzmsa-mean-compressed-byte-value,whole-stream-mean,33,36,0.916667,0.008343,0.027199,1.000000,lzmsa-mean-compressed-byte-value,lzmsa-mean-compressed-byte-value,median+closest leader
normalized-rms,1,lzmsa-suffix-third-mean-compressed-byte-value,coarse-positional,3,36,0.083333,0.034047,0.110725,2.000000,lzmsa-mean-compressed-byte-value,lzmsa-mean-compressed-byte-value,non-leader
normalized-rms,1,lzmsa-compressed-byte-bucket-64-127-proportion,coarse-histogram,0,36,0.000000,0.070843,0.233989,3.000000,lzmsa-mean-compressed-byte-value,lzmsa-mean-compressed-byte-value,non-leader
normalized-rms,2,lzmsa-mean-compressed-byte-value,whole-stream-mean,33,36,0.916667,0.008343,0.027199,1.000000,lzmsa-mean-compressed-byte-value,lzmsa-mean-compressed-byte-value,median+closest leader
normalized-rms,2,lzmsa-suffix-third-mean-compressed-byte-value,coarse-positional,3,36,0.083333,0.034047,0.110725,2.000000,lzmsa-mean-compressed-byte-value,lzmsa-mean-compressed-byte-value,non-leader
normalized-rms,2,lzmsa-compressed-byte-bucket-64-127-proportion,coarse-histogram,0,36,0.000000,0.070843,0.233989,3.000000,lzmsa-mean-compressed-byte-value,lzmsa-mean-compressed-byte-value,non-leader
normalized-rms,4,lzmsa-mean-compressed-byte-value,whole-stream-mean,33,36,0.916667,0.008343,0.027199,1.000000,lzmsa-mean-compressed-byte-value,lzmsa-mean-compressed-byte-value,median+closest leader
normalized-rms,4,lzmsa-suffix-third-mean-compressed-byte-value,coarse-positional,3,36,0.083333,0.034047,0.110725,2.000000,lzmsa-mean-compressed-byte-value,lzmsa-mean-compressed-byte-value,non-leader
normalized-rms,4,lzmsa-compressed-byte-bucket-64-127-proportion,coarse-histogram,0,36,0.000000,0.070843,0.233989,3.000000,lzmsa-mean-compressed-byte-value,lzmsa-mean-compressed-byte-value,non-leader
raw-scaled,0.5,lzmsa-mean-compressed-byte-value,whole-stream-mean,29,36,0.805556,0.009934,0.029514,1.000000,lzmsa-mean-compressed-byte-value,lzmsa-mean-compressed-byte-value,median+closest leader
raw-scaled,0.5,lzmsa-suffix-third-mean-compressed-byte-value,coarse-positional,5,36,0.138889,0.034192,0.139564,2.000000,lzmsa-mean-compressed-byte-value,lzmsa-mean-compressed-byte-value,non-leader
raw-scaled,0.5,lzmsa-compressed-byte-bucket-64-127-proportion,coarse-histogram,2,36,0.055556,0.050492,0.230806,3.000000,lzmsa-mean-compressed-byte-value,lzmsa-mean-compressed-byte-value,non-leader
raw-scaled,1,lzmsa-compressed-byte-bucket-64-127-proportion,coarse-histogram,11,36,0.305556,0.066165,0.205343,2.000000,lzmsa-compressed-byte-bucket-64-127-proportion,lzmsa-mean-compressed-byte-value,median leader
raw-scaled,1,lzmsa-mean-compressed-byte-value,whole-stream-mean,14,36,0.388889,0.069444,0.138503,2.000000,lzmsa-compressed-byte-bucket-64-127-proportion,lzmsa-mean-compressed-byte-value,closest-win leader
raw-scaled,1,lzmsa-suffix-third-mean-compressed-byte-value,coarse-positional,11,36,0.305556,0.075859,0.156057,2.000000,lzmsa-compressed-byte-bucket-64-127-proportion,lzmsa-mean-compressed-byte-value,non-leader
raw-scaled,2,lzmsa-mean-compressed-byte-value,whole-stream-mean,28,36,0.777778,0.008247,0.045139,1.000000,lzmsa-mean-compressed-byte-value,lzmsa-mean-compressed-byte-value,median+closest leader
raw-scaled,2,lzmsa-suffix-third-mean-compressed-byte-value,coarse-positional,5,36,0.138889,0.055941,0.140239,2.000000,lzmsa-mean-compressed-byte-value,lzmsa-mean-compressed-byte-value,non-leader
raw-scaled,2,lzmsa-compressed-byte-bucket-64-127-proportion,coarse-histogram,3,36,0.083333,0.076197,0.239680,3.000000,lzmsa-mean-compressed-byte-value,lzmsa-mean-compressed-byte-value,non-leader
raw-scaled,4,lzmsa-mean-compressed-byte-value,whole-stream-mean,21,36,0.583333,0.009163,0.043596,1.000000,lzmsa-mean-compressed-byte-value,lzmsa-mean-compressed-byte-value,median+closest leader
raw-scaled,4,lzmsa-suffix-third-mean-compressed-byte-value,coarse-positional,8,36,0.222222,0.031154,0.086613,2.000000,lzmsa-mean-compressed-byte-value,lzmsa-mean-compressed-byte-value,non-leader
raw-scaled,4,lzmsa-compressed-byte-bucket-64-127-proportion,coarse-histogram,7,36,0.194444,0.044174,0.211516,3.000000,lzmsa-mean-compressed-byte-value,lzmsa-mean-compressed-byte-value,non-leader
